ticker,name,sector,market_cap_category
BUSER.ST,Bambuser AB (publ),Information Technology,Small Cap
BUY.ST,Sweden BuyersClub AB,Consumer Discretionary,Nano Cap
BWEO.ST,BW Energy Ltd.,Industrials,Large Cap
BWLPGO.ST,BW LPG Limited,Industrials,Large Cap
BWOO.ST,BW Offshore Limited,Energy,Mid Cap
BYGGP.ST,ByggPartner i Dalarna Holding AB (publ),Industrials,Micro Cap
CADLRO.ST,Cadeler A/S,Industrials,Large Cap
CAG.ST,CAG Group AB (publ),Information Technology,Micro Cap
CALVIK.ST,Calviks AB (publ),Industrials,Micro Cap
CAMX.ST,Camurus AB (publ),Health Care,Small Cap
CANDLE-B.ST,Candles Scandinavia AB Class B,Industrials,Micro Cap
CANTA.ST,Cantargia AB (publ),Health Care,Micro Cap
CAPAC.ST,Capacent Holding AB (publ),Industrials,Nano Cap
CARA.ST,Carasent AB,Information Technology,Small Cap
CARE.ST,Careium AB,Information Technology,Small Cap
CASE.ST,Case Group AB,Financials,Small Cap
CAST.ST,Castellum AB (publ),Real Estate,Mid Cap
CAT-A.ST,Catella AB Class A,Financials,Small Cap
CAT-B.ST,Catella AB (publ),Financials,Micro Cap
CATE.ST,Catena AB (publ),Real Estate,Small Cap
CAVENO.ST,Cavendish Hydrogen ASA,Industrials,Micro Cap
CBTT-B.ST,Christian Berner Tech Trade AB (publ),Industrials,Micro Cap
CCC.ST,Cavotec Group AB,Industrials,Small Cap
CCOR-B.ST,Concordia Maritime AB (publ),Industrials,Nano Cap
CDMIL.ST,Codemill AB,Information Technology,Micro Cap
CDON.ST,CDON AB,Consumer Discretionary,Micro Cap
CE.ST,Cortus Energy AB (publ),Utilities,Micro Cap
CEDER.ST,Cedergrenska AB,Industrials,Small Cap
CEVI.ST,CellaVision AB (publ),Health Care,Small Cap
CFISH.ST,Crunchfish AB (publ),Information Technology,Micro Cap
CHARGE.ST,ChargePanel AB,Consumer Discretionary,Nano Cap
CHECK.ST,Checkin.com Group AB,Information Technology,Nano Cap
CHEF.ST,Cheffelo AB,Consumer Discretionary,Small Cap
CHRO.ST,ChromoGenics AB,Industrials,Nano Cap
CI.ST,Cell Impact AB,Industrials,Nano Cap
